minuto_utc,num_ticks_last,volume_total,last_first,last_last,last_high,last_low,bid_min,bid_max,bid_avg,ask_min,ask_max,ask_avg,spread_avg,spread_median,spread_min,spread_max,spread_n_amostras
2025-04-04T00:00:00Z,1160,1247,18654.25,18680.25,18680.5,18653.5,18653.25,18680.25,18666.756465517243,18653.75,18680.75,18667.361853448278,0.6053879310347838,0.5,0.25,2.5,1159
2025-04-04T00:01:00Z,829,872,18680.5,18680.75,18685.75,18673.5,18673.25,18685.25,18680.637213510254,18673.75,18685.75,18681.22044632087,0.5832328106153,0.5,0.25,1.5,829
2025-04-04T00:02:00Z,587,658,18681.25,18687.75,18688.75,18675.0,18674.25,18688.5,18682.64182282794,18675.0,18688.75,18683.19846678024,0.556643952299055,0.5,0.25,1.0,587
2025-04-04T00:03:00Z,1417,1529,18686.75,18698.5,18704.25,18686.5,18686.25,18703.5,18696.61820748059,18686.75,18704.0,18697.221418489768,0.603211009176448,0.5,0.25,1.5,1417
2025-04-04T00:04:00Z,698,763,18698.5,18706.25,18708.75,18695.25,18695.75,18708.5,18702.07736389685,18696.0,18709.0,18702.683022922636,0.6056590257867356,0.5,0.25,2.25,698
2025-04-04T00:05:00Z,798,872,18706.25,18710.5,18712.5,18700.75,18700.75,18712.5,18706.34053884712,18701.25,18712.75,18706.89285714286,0.552318295740406,0.5,0.25,1.5,798
2025-04-04T00:06:00Z,751,809,18710.25,18708.0,18713.25,18706.0,18705.75,18713.0,18709.9983355526,18706.5,18713.25,18710.57656458056,0.578229027960333,0.5,0.25,1.25,751
2025-04-04T00:07:00Z,1003,1073,18707.5,18696.75,18707.5,18689.5,18689.5,18707.5,18697.72482552343,18689.75,18708.0,18698.276171485544,0.5513459621142829,0.5,0.25,1.0,1003
2025-04-04T00:08:00Z,573,600,18696.75,18693.75,18699.75,18689.75,18689.75,18699.5,18693.788830715534,18690.0,18700.0,18694.341186736474,0.5523560209403513,0.5,0.25,1.0,573
2025-04-04T00:09:00Z,456,505,18694.5,18689.25,18698.5,18687.25,18687.5,18698.5,18692.246162280702,18688.0,18699.25,18692.800438596492,0.5542763157900481,0.5,0.25,1.5,456
2025-04-04T00:10:00Z,474,522,18689.25,18690.75,18698.5,18688.25,18688.5,18697.75,18693.975210970464,18689.0,18698.25,18694.561181434598,0.5859704641334247,0.5,0.25,1.25,474
2025-04-04T00:11:00Z,492,519,18690.5,18692.5,18699.25,18686.75,18686.5,18698.5,18693.610264227642,18687.0,18699.25,18694.16869918699,0.558434959348233,0.5,0.25,1.0,492
2025-04-04T00:12:00Z,319,341,18693.0,18693.25,18698.75,18692.0,18691.5,18698.25,18694.412225705328,18692.0,18698.75,18694.95141065831,0.5391849529805768,0.5,0.25,1.0,319
2025-04-04T00:13:00Z,593,623,18693.5,18690.0,18694.75,18682.5,18682.5,18694.75,18687.715008431704,18683.25,18695.25,18688.317453625634,0.6024451939301798,0.5,0.25,1.5,593
2025-04-04T00:14:00Z,487,513,18691.25,18689.0,18697.5,18688.25,18688.0,18696.25,18692.481006160164,18688.5,18696.75,18693.086242299796,0.6052361396323249,0.5,0.25,1.5,487
2025-04-04T00:15:00Z,665,726,18689.25,18682.25,18692.75,18678.75,18678.5,18692.75,18683.546992481202,18678.75,18693.25,18684.10864661654,0.5616541353374487,0.5,0.25,1.25,665
2025-04-04T00:16:00Z,375,421,18681.75,18688.25,18690.0,18679.5,18679.25,18689.75,18685.782666666666,18679.75,18690.0,18686.302,0.5193333333336341,0.5,0.25,1.0,375
2025-04-04T00:17:00Z,365,385,18687.75,18688.5,18694.75,18685.0,18684.75,18694.25,18689.70890410959,18685.0,18694.75,18690.235616438356,0.5267123287667346,0.5,0.25,1.0,365
2025-04-04T00:18:00Z,356,390,18689.0,18687.0,18691.5,18684.25,18684.25,18691.0,18687.13342696629,18684.75,18691.5,18687.6720505618,0.5386235955083976,0.5,0.25,1.0,356
2025-04-04T00:19:00Z,274,308,18687.75,18689.5,18692.25,18683.5,18683.5,18692.0,18688.587591240877,18684.0,18692.5,18689.10310218978,0.5155109489023744,0.5,0.25,1.25,274
2025-04-04T00:20:00Z,339,351,18690.25,18691.25,18694.0,18686.25,18685.75,18693.75,18690.830383480825,18686.25,18694.25,18691.41814159292,0.5877581120948889,0.5,0.25,1.0,339
2025-04-04T00:21:00Z,274,307,18690.75,18691.25,18692.5,18684.5,18684.5,18692.25,18688.343978102188,18684.75,18692.75,18688.910583941604,0.5666058394162974,0.5,0.25,1.0,274
2025-04-04T00:22:00Z,319,344,18691.25,18694.5,18697.0,18683.5,18683.5,18696.5,18689.934952978056,18684.0,18697.0,18690.48197492163,0.5470219435737818,0.5,0.25,1.0,319
2025-04-04T00:23:00Z,186,210,18695.5,18691.0,18695.75,18689.5,18689.25,18695.75,18692.301075268817,18689.75,18696.0,18692.84811827957,0.5470430107525317,0.5,0.25,1.0,186
2025-04-04T00:24:00Z,504,543,18690.5,18682.0,18690.5,18678.75,18678.5,18690.0,18682.437996031746,18679.0,18690.5,18682.98263888889,0.544642857144936,0.5,0.25,1.0,504
2025-04-04T00:25:00Z,313,334,18681.5,18681.5,18683.0,18676.5,18676.75,18682.75,18679.00319488818,18677.25,18683.25,18679.55031948882,0.5471246006381989,0.5,0.25,1.0,313
2025-04-04T00:26:00Z,530,577,18681.75,18683.25,18688.25,18675.25,18675.25,18687.5,18682.32216981132,18675.75,18688.5,18682.989150943395,0.666981132075307,0.5,0.25,3.0,530
2025-04-04T00:27:00Z,221,238,18682.75,18690.25,18690.25,18680.25,18680.0,18690.25,18684.89592760181,18680.5,18690.75,18685.388009049773,0.49208144796284614,0.5,0.25,0.75,221
2025-04-04T00:28:00Z,474,550,18691.0,18699.75,18701.75,18689.25,18689.25,18701.25,18695.86075949367,18689.5,18701.75,18696.39029535865,0.5295358649818809,0.5,0.25,1.0,474
2025-04-04T00:29:00Z,610,725,18700.0,18697.5,18704.0,18696.75,18697.5,18703.75,18700.892622950818,18697.75,18704.0,18701.51106557377,0.6184426229519886,0.5,0.25,1.0,610
2025-04-04T00:30:00Z,414,442,18696.75,18690.0,18697.25,18688.75,18688.75,18697.25,18692.640096618357,18689.0,18697.5,18693.201690821257,0.5615942028998688,0.5,0.25,1.0,414
2025-04-04T00:31:00Z,481,491,18689.75,18694.25,18696.5,18685.0,18685.0,18696.25,18689.534823284823,18685.25,18696.5,18690.111746361745,0.5769230769219575,0.5,0.25,1.0,481
2025-04-04T00:32:00Z,256,273,18694.5,18698.5,18699.75,18693.5,18693.5,18699.75,18696.232421875,18693.75,18700.0,18696.7646484375,0.5322265625,0.5,0.25,1.0,256
2025-04-04T00:33:00Z,385,442,18696.75,18690.5,18698.0,18688.25,18689.25,18698.0,18692.44025974026,18690.25,18698.25,18693.1487012987,0.7084415584431554,0.5,0.25,1.75,385
2025-04-04T00:34:00Z,525,599,18690.25,18680.0,18690.75,18678.0,18677.75,18690.75,18682.57238095238,18678.25,18691.25,18683.148095238095,0.5757142857146391,0.5,0.25,1.25,525
2025-04-04T00:35:00Z,570,649,18681.0,18670.0,18682.75,18668.0,18668.0,18682.5,18673.232017543858,18668.25,18682.75,18673.791666666668,0.5596491228097875,0.5,0.25,1.25,570
2025-04-04T00:36:00Z,304,344,18670.25,18674.5,18677.25,18670.25,18670.25,18677.0,18673.794407894737,18670.75,18677.25,18674.362664473683,0.5682565789466025,0.5,0.25,1.0,304
2025-04-04T00:37:00Z,267,287,18675.25,18678.25,18678.75,18669.75,18669.75,18678.25,18673.65074906367,18670.0,18678.75,18674.251872659177,0.6011235955083976,0.5,0.25,1.25,267
2025-04-04T00:38:00Z,140,141,18678.25,18679.0,18679.25,18674.25,18674.0,18679.25,18676.5875,18674.25,18679.5,18677.139285714286,0.5517857142840512,0.5,0.25,1.0,140
2025-04-04T00:39:00Z,302,335,18679.25,18675.25,18680.5,18671.75,18671.75,18680.25,18674.876655629138,18672.5,18680.5,18675.46274834437,0.5860927152316435,0.5,0.25,1.25,302
2025-04-04T00:40:00Z,248,261,18676.5,18671.25,18677.5,18670.0,18670.0,18677.0,18673.863911290322,18670.25,18677.5,18674.416330645163,0.552419354840822,0.5,0.25,0.75,248
2025-04-04T00:41:00Z,450,497,18671.25,18666.75,18671.5,18663.0,18663.0,18671.5,18666.762222222223,18663.5,18672.0,18667.262222222223,0.5,0.5,0.25,1.0,450
2025-04-04T00:42:00Z,243,268,18667.0,18668.5,18671.0,18666.5,18666.5,18670.75,18668.716049382718,18667.0,18671.25,18669.271604938273,0.5555555555547471,0.5,0.25,1.0,243
2025-04-04T00:43:00Z,205,229,18668.5,18671.25,18675.0,18668.5,18668.0,18674.25,18672.279268292685,18668.5,18675.0,18672.858536585365,0.5792682926803536,0.5,0.25,1.5,205
2025-04-04T00:44:00Z,317,323,18671.25,18668.25,18672.5,18666.5,18666.5,18671.75,18668.867507886436,18666.75,18672.5,18669.460567823346,0.5930599369094125,0.5,0.25,1.5,317
2025-04-04T00:45:00Z,506,538,18669.0,18660.0,18669.75,18659.25,18659.75,18669.5,18664.505434782608,18660.0,18670.0,18665.129446640316,0.6240118577079556,0.5,0.25,1.5,506
2025-04-04T00:46:00Z,334,368,18660.5,18663.75,18669.25,18659.0,18659.0,18668.75,18663.690868263475,18659.25,18669.0,18664.228293413173,0.5374251496978104,0.5,0.25,0.75,334
2025-04-04T00:47:00Z,1348,1415,18663.75,18643.75,18664.5,18638.25,18638.25,18664.25,18648.220140949554,18638.75,18664.5,18648.802670623147,0.5825296735929442,0.5,0.25,1.25,1348
2025-04-04T00:48:00Z,564,620,18643.25,18647.25,18650.5,18642.5,18642.5,18650.0,18646.109485815603,18643.0,18650.5,18646.687056737588,0.5775709219851706,0.5,0.25,1.5,564
2025-04-04T00:49:00Z,357,399,18646.5,18655.5,18656.0,18644.25,18644.25,18655.5,18649.87745098039,18644.75,18656.0,18650.42086834734,0.5434173669491429,0.5,0.25,1.0,357
2025-04-04T00:50:00Z,516,564,18655.75,18662.75,18665.75,18654.0,18654.5,18665.5,18660.88953488372,18655.25,18665.75,18661.43023255814,0.5406976744197891,0.5,0.25,1.0,516
2025-04-04T00:51:00Z,281,287,18662.75,18663.0,18664.0,18659.0,18659.0,18664.0,18661.525800711745,18659.25,18664.25,18662.09074733096,0.5649466192153341,0.5,0.25,1.25,281
2025-04-04T00:52:00Z,434,466,18662.5,18661.25,18665.75,18654.75,18654.75,18665.0,18659.8784562212,18655.5,18665.5,18660.457949308755,0.5794930875563296,0.5,0.25,1.25,434
2025-04-04T00:53:00Z,344,358,18661.0,18664.0,18665.75,18657.5,18657.75,18665.75,18660.933139534885,18658.25,18666.0,18661.475290697676,0.5421511627901054,0.5,0.25,1.25,344
2025-04-04T00:54:00Z,319,334,18662.5,18667.75,18668.75,18660.75,18660.5,18668.5,18664.991379310344,18660.75,18668.75,18665.521159874606,0.5297805642621825,0.5,0.25,1.25,319
2025-04-04T00:55:00Z,329,387,18668.25,18670.25,18671.5,18664.75,18664.25,18671.0,18668.395136778116,18664.75,18671.5,18668.912613981764,0.5174772036480135,0.5,0.25,1.0,329
2025-04-04T00:56:00Z,511,545,18669.75,18660.75,18670.0,18655.25,18655.25,18670.0,18661.801859099804,18655.75,18670.75,18662.4427592955,0.6409001956963039,0.5,0.25,1.75,511
2025-04-04T00:57:00Z,239,266,18658.75,18664.5,18665.5,18658.25,18658.25,18665.0,18661.837866108788,18658.75,18665.5,18662.423640167362,0.5857740585743159,0.5,0.25,1.0,239
2025-04-04T00:58:00Z,141,149,18665.0,18666.5,18666.5,18660.75,18660.5,18666.25,18662.929078014186,18661.0,18666.75,18663.429078014186,0.5,0.5,0.25,0.75,141
2025-04-04T00:59:00Z,503,581,18666.25,18673.75,18675.25,18665.25,18665.0,18674.75,18671.098409542745,18665.5,18675.0,18671.63916500994,0.5407554671946855,0.5,0.25,1.0,503
2025-04-04T01:00:00Z,696,751,18673.25,18669.75,18678.75,18668.0,18668.25,18678.25,18674.06752873563,18668.75,18679.0,18674.67959770115,0.6120689655181195,0.5,0.25,1.5,696
2025-04-04T01:01:00Z,501,532,18668.75,18680.75,18681.25,18668.25,18667.75,18681.0,18676.046906187625,18668.25,18681.25,18676.614271457085,0.5673652694604243,0.5,0.25,1.0,501
2025-04-04T01:02:00Z,549,589,18679.75,18682.0,18684.5,18677.75,18677.75,18683.75,18680.67349726776,18678.0,18684.5,18681.34471766849,0.6712204007308173,0.5,0.25,2.25,549
2025-04-04T01:03:00Z,263,288,18682.5,18680.5,18686.0,18680.5,18680.25,18685.5,18683.309885931558,18680.75,18686.0,18683.858365019012,0.548479087454325,0.5,0.25,1.0,263
2025-04-04T01:04:00Z,342,370,18680.75,18676.75,18682.25,18675.0,18674.75,18682.0,18677.52485380117,18675.0,18682.5,18678.106725146197,0.5818713450280484,0.5,0.25,1.25,342
2025-04-04T01:05:00Z,553,594,18677.0,18674.25,18678.25,18665.75,18665.5,18678.0,18669.473327305604,18666.0,18678.25,18669.993670886077,0.5203435804723995,0.5,0.25,1.0,553
2025-04-04T01:06:00Z,481,519,18673.75,18684.0,18684.25,18673.0,18673.75,18683.5,18678.45945945946,18674.25,18684.0,18679.04313929314,0.583679833678616,0.5,0.25,1.0,481
2025-04-04T01:07:00Z,510,552,18684.0,18683.25,18686.25,18676.75,18677.25,18685.75,18682.707352941175,18677.75,18686.0,18683.347549019607,0.6401960784314724,0.5,0.25,1.75,510
2025-04-04T01:08:00Z,225,237,18684.5,18674.75,18684.75,18672.0,18672.5,18684.25,18678.571111111112,18673.0,18684.75,18679.13,0.5588888888887595,0.5,0.25,1.0,225
2025-04-04T01:09:00Z,404,455,18674.0,18670.75,18674.0,18667.5,18667.5,18674.0,18669.996287128713,18668.0,18674.5,18670.56126237624,0.5649752475255809,0.5,0.25,1.25,404
2025-04-04T01:10:00Z,361,374,18671.75,18669.25,18674.75,18666.5,18666.25,18674.75,18669.00346260388,18667.0,18675.0,18669.627423822716,0.6239612188364845,0.5,0.25,1.0,361
2025-04-04T01:11:00Z,370,420,18669.25,18663.5,18669.25,18661.75,18661.5,18669.0,18664.117567567566,18662.0,18669.25,18664.732432432433,0.6148648648668313,0.5,0.25,1.5,370
2025-04-04T01:12:00Z,437,459,18662.5,18669.5,18670.25,18658.25,18658.25,18670.25,18663.935354691075,18658.75,18670.75,18664.53032036613,0.5949656750563008,0.5,0.25,1.0,437
2025-04-04T01:13:00Z,207,217,18669.5,18669.25,18671.5,18665.75,18665.25,18671.5,18668.408212560385,18665.75,18672.0,18669.00603864734,0.5978260869560472,0.5,0.25,0.75,207
2025-04-04T01:14:00Z,236,251,18669.25,18664.75,18672.25,18663.25,18663.25,18672.0,18667.085805084746,18663.5,18672.25,18667.664194915254,0.5783898305089679,0.5,0.25,1.25,236
2025-04-04T01:15:00Z,227,233,18665.5,18662.0,18671.25,18662.0,18661.75,18671.0,18666.281938325992,18662.0,18671.5,18666.94603524229,0.6640969162981492,0.5,0.25,1.75,227
2025-04-04T01:16:00Z,534,585,18662.75,18672.0,18675.75,18662.75,18662.75,18675.25,18671.350187265918,18663.5,18675.75,18671.994382022473,0.6441947565544979,0.5,0.25,2.75,534
2025-04-04T01:17:00Z,253,263,18671.5,18665.5,18675.0,18665.0,18664.75,18675.0,18669.260869565216,18665.0,18675.5,18669.794466403164,0.5335968379476981,0.5,0.25,1.0,253
2025-04-04T01:18:00Z,213,224,18666.0,18669.75,18669.75,18662.25,18662.0,18669.0,18665.12323943662,18662.5,18669.75,18665.73122065728,0.607981220658985,0.5,0.25,1.25,213
2025-04-04T01:19:00Z,138,155,18669.0,18670.0,18671.25,18666.75,18666.25,18671.25,18668.994565217392,18666.75,18671.5,18669.572463768116,0.5778985507240577,0.5,0.25,1.0,138
